	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d	C:\Users\Administrator\Documents\Qualisys_baseball\Data\parkmyeonggyun\Baseball Markerless Right-handed\Fastball RH Markerless 4.c3d
	FRAMES	TIME	Pelvis_Ang_Vel	Thorax_Ang_Vel	Pitching_Humerus_Ang_Vel	Pitching_Hand_Ang_Vel	Trunk_wrt_Pelvis_Angle	Trunk_Angle	Trunk_Angle	Trunk_Angle	Lead_Knee_Angle	STRIDE_LENGTH	STRIDE_LENGTH_MEAN_PERCENT	Pitching_Shoulder_Angle	Pitching_Shoulder_Angle	Pitching_Shoulder_Angle	Pitching_Shoulder_Ang_Vel	Pitching_Elbow_Ang_Vel	FP1	FP1	FP1	FP2	FP2	FP2	FP1	FP1	FP1	FP2	FP2	FP2	FP1	FP1	FP1	FP2	FP2	FP2	MaxKneeHeight	Footstrike	Max_Shoulder_Int_Rot	Release	Release100msAfter	COM_displacement	Pitching_Elbow_Ang_Vel	Pitching_Elbow_Ang_Vel	Pitching_Elbow_Ang_Vel
	FRAME_NUMBERS	FRAME_NUMBERS	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	METRIC	METRIC	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	COFP	COFP	COFP	COFP	COFP	COFP	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	PROCESSED	PROCESSED	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	STRIDE_LENGTH	STRIDE_LENGTH	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	PROCESSED	PROCESSED	PROCESSED
ITEM	0	0	Z	Z	Z	X	Z	X	Y	Z	X	X	X	X	Y	Z	Z	X	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	0	0	0	0	0	Y	X	Y	Z
1	1.00000	0.00000					0.12536	-0.62164	0.73236	83.03885	7.89639	1.42686	79.68142	-14.29099	19.96691	-60.80839			0.00000	0.00000	0.00000	-2.01017	4.02022	937.42816				0.19790	0.35861	0.00614	0.00000	0.00000	0.00000	-0.00666	0.00380	3.11614	2.60000	4.84000	4.70667	5.02333	5.12333	0.34413			
2	2.00000	0.00333	9.38278	-149.10303	-218.98627	-3465.75903	0.54511	-0.50649	0.61637	83.46394	8.62635			-13.25345	19.48317	-59.59866	88.30830	76.22871	0.00000	0.00000	0.00000	-2.20009	5.01240	934.25146				0.19764	0.35799	0.00614	0.00000	0.00000	0.00000	-0.00687	0.00392	3.21560						0.34373	76.22871	127.78748	3926.22021
3	3.00000	0.00667	4.45391	-104.16899	-140.83441	-996.63361	1.16443	-0.40903	0.50471	84.03600	9.05568			-13.47684	19.20872	-59.45478	61.87017	62.76044	0.00000	0.00000	0.00000	-2.11557	5.31817	934.36914				0.19756	0.35794	0.00614	0.00000	0.00000	0.00000	-0.00710	0.00405	3.32084						0.34355	62.76044	99.73887	2306.89575
4	4.00000	0.01000	-0.13612	-63.87379	-18.45194	820.84137	1.21113	-0.41669	0.51539	84.08920	8.94669			-14.11266	19.28677	-60.03093	38.72107	50.01632	0.00000	0.00000	0.00000	-2.03031	5.55231	934.40009				0.19755	0.35795	0.00614	0.00000	0.00000	0.00000	-0.00709	0.00405	3.31516						0.34365	50.01632	74.07690	928.90991
5	5.00000	0.01333	-3.99693	-31.69185	-10.03900	918.31415	1.22458	-0.43057	0.53605	84.12121	8.80468			-14.86131	19.38852	-60.72831	21.09143	38.74356	0.00000	0.00000	0.00000	-2.00650	5.72138	934.57965				0.19759	0.35799	0.00614	0.00000	0.00000	0.00000	-0.00701	0.00400	3.28105						0.34379	38.74356	52.64708	-63.22314
6	6.00000	0.01667	-6.78430	-8.84619	-4.39516	866.55121	1.20589	-0.44838	0.56446	84.13284	8.65371			-15.63591	19.49512	-61.45675	9.68809	29.11212	0.00000	0.00000	0.00000	-2.06682	5.76826	934.59192				0.19757	0.35800	0.00614	0.00000	0.00000	0.00000	-0.00695	0.00397	3.25117						0.34393	29.11212	35.76299	-636.19214
7	7.00000	0.02000	-8.30958	5.39598	-1.71398	704.76379	1.16088	-0.46818	0.59780	84.12561	8.51451			-16.34392	19.58778	-62.11933	3.77691	20.83329	0.00000	0.00000	0.00000	-2.15724	5.76815	934.60406				0.19754	0.35798	0.00614	0.00000	0.00000	0.00000	-0.00684	0.00390	3.19885						0.34406	20.83329	22.57322	-845.37793
8	8.00000	0.02333	-8.56735	12.71184	-1.33207	478.14462	1.09953	-0.48837	0.63270	84.10315	8.40272			-16.90212	19.65091	-62.63081	1.81933	13.53313	0.00000	0.00000	0.00000	-2.21329	5.77368	934.64819				0.19758	0.35797	0.00614	0.00000	0.00000	0.00000	-0.00677	0.00387	3.16970						0.34418	13.53313	11.92202	-792.28198
9	9.00000	0.02667	-7.72119	14.91743	-2.10457	235.69020	1.03358	-0.50781	0.66577	84.07114	8.32714			-17.25128	19.67654	-62.93402	2.09703	7.00417	0.00000	0.00000	0.00000	-2.23169	5.81889	934.53906				0.19765	0.35795	0.00614	0.00000	0.00000	0.00000	-0.00703	0.00402	3.29149						0.34427	7.00417	2.95694	-589.19189
10	10.00000	0.03000	-6.06881	13.59599	-3.09730	23.88820	0.97442	-0.52587	0.69404	84.03638	8.28937			-17.36611	19.66732	-63.00898	3.12044	1.24585	0.00000	0.00000	0.00000	-2.29406	5.92730	934.19812				0.19765	0.35796	0.00614	0.00000	0.00000	0.00000	-0.00744	0.00425	3.48150						0.34434	1.24585	-4.69994	-335.89722
11	11.00000	0.03333	-3.98566	9.99947	-3.96940	-121.01022	0.93136	-0.54212	0.71535	84.00587	8.28484			-17.25857	19.63610	-62.87321	3.84282	-3.61507	0.00000	0.00000	0.00000	-2.39294	6.05633	933.95490				0.19760	0.35798	0.00614	0.00000	0.00000	0.00000	-0.00759	0.00433	3.55165						0.34439	-3.61507	-11.06099	-105.90942
12	12.00000	0.03667	-1.85874	5.08772	-4.83509	-181.09669	0.91040	-0.55595	0.72859	83.98606	8.30452			-16.97296	19.60151	-62.57458	3.71028	-7.44091	0.00000	0.00000	0.00000	-2.44554	6.11598	933.93353				0.19757	0.35798	0.00614	0.00000	0.00000	0.00000	-0.00741	0.00423	3.46514						0.34443	-7.44091	-15.99193	59.30396
13	13.00000	0.04000	-0.02536	-0.39165	-5.89175	-162.36180	0.91452	-0.56616	0.73369	83.98212	8.33716			-16.57216	19.58089	-62.17677	2.59367	-10.17215	0.00000	0.00000	0.00000	-2.45094	6.12184	934.04120				0.19756	0.35795	0.00614	0.00000	0.00000	0.00000	-0.00724	0.00413	3.38643						0.34445	-10.17215	-19.40130	149.02075
14	14.00000	0.04333	1.27217	-5.83961	-7.18677	-93.63963	0.94391	-0.57108	0.73146	83.99715	8.37204			-16.11774	19.58400	-61.74018	0.65719	-11.85480	0.00000	0.00000	0.00000	-2.45220	6.03205	934.10449				0.19757	0.35791	0.00614	0.00000	0.00000	0.00000	-0.00715	0.00408	3.34724						0.34446	-11.85480	-21.32590	176.22607
15	15.00000	0.04667	1.91266	-10.78087	-8.56301	-17.08801	0.99561	-0.56901	0.72322	84.03167	8.40154			-15.65331	19.61025	-61.30622	-1.78505	-12.60921	0.00000	0.00000	0.00000	-2.42982	5.80268	933.99420				0.19760	0.35787	0.00614	0.00000	0.00000	0.00000	-0.00705	0.00402	3.29662						0.34446	-12.60921	-21.91246	166.97754
16	16.00000	0.05000	1.90190	-14.87476	-9.67428	27.43459	1.06340	-0.55903	0.71055	84.08335	8.42251			-15.19919	19.65022	-60.89260	-4.38747	-12.57407	0.00000	0.00000	0.00000	-2.35551	5.68750	933.81549				0.19761	0.35787	0.00614	0.00000	0.00000	0.00000	-0.00713	0.00407	3.33480						0.34444	-12.57407	-21.34855	148.99512
17	17.00000	0.05333	1.35623	-17.94028	-10.07691	16.91745	1.13883	-0.54162	0.69497	84.14747	8.43615			-14.75840	19.69033	-60.49977	-6.84515	-11.86633	0.00000	0.00000	0.00000	-2.25892	5.90748	933.84827				0.19759	0.35790	0.00614	0.00000	0.00000	0.00000	-0.00749	0.00428	3.50447						0.34439	-11.86633	-19.80595	142.35303
